42,빽다방 대전유성리베라점,34178 대전광역시 유성구 계룡로 64 미성샤르망 빽다방,36.354605,127.3378571,4.45,4085.965,봉명동
43,빽다방 대전봉명우산점,34185 대전광역시 유성구 문화원로 86 1층 103호 빽다방,36.3587477,127.3469016,4.82,4085.965,봉명동
44,킁킁커피,34169 대전광역시 유성구 계룡로 55 105호 킁킁커피,36.3557132,127.3371923,4.58,3320.455,봉명동
45,이디야 대전유성온천역점,34179 대전광역시 유성구 계룡로 92 cj나인파크 101-1호 이디야,36.3536039,127.3406953,4.39,4106.061,봉명동
46,투썸플레이스 유성봉명점,34184 대전광역시 유성구 문화원로 99 1층 투썸플레이스,36.3592163,127.3468387,4,5770.513,봉명동
47,투썸플레이스 대전유성온천점,34187 대전광역시 유성구 온천로 84 1층 투썸플레이스,36.3544544,127.3470556,4.42,5770.513,봉명동
48,투썸플레이스 대전도안바로세움점,34189 대전광역시 유성구 계룡로 142 바로세움병원 1층 투썸플레이스,36.3521129,127.3458931,4.8,5770.513,봉명동
49,감성커피 대전유성점,34186 대전광역시 유성구 온천로 45 유스퀘어동 1층 120호 감성커피,36.3556963,127.3429483,4.42,4261.728,봉명동
50,뚜레쥬르 대전도안봉명점,34188 대전광역시 유성구 계룡로132번길 10 뚜레쥬르,36.346,127.3409,4.46,4113.333,봉명동
51,디저트39 대전,34189 대전광역시 유성구 계룡로 150 205호 디저트39,36.3550332,127.336964,4.44,5223.529,봉명동
52,빽다방 대전유성센트럴점,34188 대전광역시 유성구 계룡로132번길 10 1층 105호 빽다방,36.3550332,127.336964,3,4085.965,봉명동
53,브레드마마 봉명점,34190 대전광역시 유성구 도안대로 512-21 1층 브레드마마,36.3461,127.3416,4.36,4218.182,봉명동
54,오슬로의 시간,34127 대전광역시 유성구 죽동로280번길 32 1층 오슬로의 시간,36.3770612,127.3328339,4.25,6328.571,죽동
55,콜마르브레드,34127 대전광역시 유성구 죽동로297번길 12 콜마르브레드,36.3770612,127.3328339,4.46,3178.571,죽동
56,카페희스밀,34127 대전광역시 유성구 죽동로279번길 80 카페희스밀,36.3723462,127.3405583,4.4,7000,죽동
57,다온by모루,34127 대전광역시 유성구 죽동로242번길 59 1층 다온by모루,36.3770612,127.3328339,4.53,4617.647,죽동
58,파스쿠찌(죽동),34127 대전광역시 유성구 죽동로297번길 46 (죽동) 파스쿠찌,36.3749946,127.3373999,4.59,5784.211,죽동
59,커스텀커피 대전(죽동),34127 대전광역시 유성구 죽동로297번길 83 1층 101호 커스텀커피,36.3770612,127.3328339,5,5000,죽동
60,카페미뇽 대전(죽동),34127 대전광역시 유성구 죽동로280번길 34 1층 카페미뇽,36.3770612,127.3328339,4.5,5720,죽동
61,빽다방 대전(죽동),34127 대전광역시 유성구 죽동로 295 101호 빽다방,36.3770612,127.3328339,4.6,4085.965,죽동
62,파리바게뜨 대전(죽동),34127 대전광역시 유성구 죽동로298번길 14 [다이소 맞은편] 파리바게뜨,36.3770612,127.3328339,4,3911.321,죽동
63,투썸플레이스 대전(죽동),34127 대전광역시 유성구 죽동로297번길 22 예지빌딩 1층 투썸플레이스,36.3770612,127.3328339,3.8,5770.513,죽동
64,배스킨라빈스 대전(죽동),34127 대전광역시 유성구 유성대로 871 (죽동) 1층 101(일부)/ 102/103호(죽동) 배스킨라빈스,36.370534,127.3355477,4.1,4626.667,죽동
65,공차 대전(죽동),34127 대전광역시 유성구 죽동로279번길 34 공차,36.3770612,127.3328339,4.4,5070.833,죽동
66,우디룸(어은동),34139 대전광역시 유성구 어은로48번길 19 1층 우디룸,36.3632174,127.3580742,4.65,4893.75,어은동
67,콜마르브레드(어은동),34139 대전광역시 유성구 어은로 52 엘리트독서실 콜마르브레드,36.3629612,127.3570244,4.5,3178.571,어은동
68,스타벅스 대전유성구청점(어은동),34139 대전광역시 유성구 어은로 42 스타벅스,36.362206,127.3577047,4.49,5818.75,어은동
69,빽다방 대전유성구청점(어은동),34139 대전광역시 유성구 어은로58번길 2 동천빌딩 1층 빽다방,36.363277,127.3567599,4,4085.965,어은동
70,메가MGC커피 대전유성구청점(어은동),34139 대전광역시 유성구 어은로48번길 12 메가커피 대전유성구청점,36.362786,127.357798,4.46,3457.143,어은동
71,파리바게뜨 대전한빛점(어은동),34139 대전광역시 유성구 어은로51번길 2 [유성구청 뒤 한빛APT 정문] 파리바게뜨,36.3623035,127.3560786,4.35,3911.321,어은동
72,드르쿰다From제주(월평동),35275 대전광역시 서구 계룡로314번길 8 드르쿰다From제주,36.3533834,127.3630214,4.2,6073.529,월평동
73,펄스맥 팩토리(월평동),35221 대전광역시 서구 월평로13번길 52 펄스맥 팩토리,36.357191,127.3591264,4.61,5860.656,월평동
74,아임일리터(월평동),35225 대전광역시 서구 월평로 46 아이엠일리터 1층 아임일리터,36.3559803,127.3620935,3.9,4470.833,월평동
75,스타벅스 월평트레이더스점(월평동),35222 대전광역시 서구 한밭대로 580 스타벅스,36.3576398,127.3629947,4.45,5818.75,월평동
76,배스킨라빈스 대전월평트레이더스(월평동),35222 대전광역시 서구 한밭대로 580 1층 배스킨라빈스,36.3576398,127.3629947,4.47,4626.667,월평동
77,카페드롭탑 대전(월평동),35274 대전광역시 서구 계룡로264번길 41 카페드롭탑,36.353177,127.361073,4.41,4985.714,월평동
78,오브떼르(구암동),34180 대전광역시 유성구 월드컵대로351번길 5 오브떼르,36.349396,127.3387983,5,6464.286,구암동
79,폴인레미유 대전점(구암동),34177 대전광역시 유성구 유성대로668번길 99 폴인레미유,36.35216,127.3351445,5,5993.75,구암동
80,스타벅스 대전구암DT점(구암동),34181 대전광역시 유성구 월드컵대로289번길 6 스타벅스,36.3501524,127.333093,4.5,5818.75,구암동
81,드롭탑 유성복합터미널DT점(구암동),34176 대전광역시 유성구 유성대로680번길 1-11 드롭탑,36.354299,127.3310106,4.72,4985.714,구암동
82,투썸플레이스 대전(장대동),34172 대전광역시 유성구 유성대로 756 1층 투썸플레이스,36.3598,127.3349,4.2,5770.513,장대동
83,스타벅스 대전,34165 대전광역시 유성구 유성대로 781 스타벅스,36.3621,127.3362,4.1,5818.75,장대동
84,뚜레쥬르 대전,34171 대전광역시 유성구 문화원로 2 뚜레쥬르,36.3617531,127.3368179,4.3,4113.333,장대동
